,activity,fatal_(y/n)
3441,swimming,no
3442,swimming,no
3443,,no
3444,,no
3445,swimming,no
3446,,no
3447,surfing,no
3448,,no
3449,fishing,no
3450,,no
3451,fishing,no
3452,,no
3453,,no
3454,,no
3455,swimming,no
3456,boat,no
3457,surfing,no
3458,fishing,yes
3459,,no
3460,,no
3461,swimming,no
3462,,no
3463,fishing,no
3464,swimming,no
3465,,no
3466,swimming,no
3467,swimming,yes
3468,,no
3469,fishing,no
3470,,no
3471,,no
3472,,no
3473,,no
3474,,no
3475,,no
3476,swimming,no
3477,swimming,yes
3478,,no
3479,,no
3480,surfing,no
3481,,no
3482,surfing,no
3483,swimming,no
3484,,no
3485,fishing,no
3486,,no
3487,swimming,no
3488,swimming,yes
3489,swimming,yes
3490,swimming,no
3491,surfing,no
3492,surfing,no
3493,fishing,no
3494,,no
3495,swimming,yes
3496,,no
3497,swimming,no
3498,,no
3499,swimming,no
3500,,yes
3501,,no
3502,swimming,yes
3503,,no
3504,swimming,no
3505,boat,no
3506,swimming,no
3507,swimming,unknown
3508,fishing,no
3509,fishing,yes
3510,fishing,yes
3511,,no
3512,,yes
3513,swimming,no
3514,swimming,yes
3515,,no
3516,,no
3517,swimming,no
3518,fishing,no
3519,swimming,no
3520,,no
3521,swimming,no
3522,fishing,yes
3523,surfing,no
3524,fishing,no
3525,fishing,no
3526,,no
3527,,no
3528,fishing,no
3529,swimming,no
3530,fishing,no
3531,fishing,no
3532,,no
3533,,yes
3534,,no
3535,swimming,yes
3536,fishing,no
3537,fishing,no
3538,swimming,no
3539,,no
3540,fishing,no
3541,fishing,no
3542,fishing,no
3543,,no
3544,fishing,no
3545,,unknown
3546,swimming,yes
3547,swimming,yes
3548,swimming,yes
3549,swimming,no
3550,fishing,no
3551,fishing,no
3552,fishing,unknown
3553,fishing,no
3554,fishing,no
3555,swimming,no
3556,,no
3557,,no
3558,swimming,no
3559,swimming,yes
3560,swimming,yes
3561,swimming,yes
3562,swimming,no
3563,,no
3564,swimming,no
3565,,no
3566,swimming,no
3567,,no
3568,fishing,no
3569,swimming,yes
3570,swimming,yes
3571,swimming,no
3572,,no
3573,,no
3574,fishing,no
3575,swimming,no
3576,fishing,no
3577,,yes
3578,fishing,no
3579,boat,yes
3580,swimming,no
3581,boat,yes
3582,swimming,no
3583,,no
3584,fishing,no
3585,boat,yes
3586,,no
3587,,no
3588,boat,yes
3589,surfing,no
3590,fishing,no
3591,fishing,yes
3592,,no
3593,,no
3594,surfing,no
3595,surfing,yes
3596,swimming,no
3597,,no
3598,fishing,no
3599,swimming,no
3600,fishing,no
3601,fishing,yes
3602,,no
3603,,no
3604,surfing,no
3605,boat,no
3606,swimming,no
3607,,yes
3608,fishing,yes
3609,,no
3610,fishing,no
3611,fishing,no
3612,,no
3613,,no
3614,swimming,no
3615,,no
3616,swimming,yes
3617,,no
3618,,no
3619,swimming,no
3620,swimming,no
3621,fishing,no
3622,,yes
3623,swimming,yes
3624,swimming,yes
3625,,no
3626,swimming,no
3627,swimming,no
3628,,no
3629,surfing,no
3630,fishing,no
3631,,no
3632,surfing,no
3633,,no
3634,swimming,no
3635,,no
3636,swimming,no
3637,boat,no
3638,,no
3639,surfing,no
3640,swimming,no
3641,swimming,yes
3642,,no
3643,surfing,no
3644,,no
3645,,no
3646,fishing,no
3647,,yes
3648,swimming,no
3649,swimming,no
3650,,no
3651,fishing,no
3652,swimming,no
3653,fishing,yes
3654,swimming,no
3655,swimming,yes
3656,,no
3657,fishing,no
3658,surfing,no
3659,boat,no
3660,surfing,no
3661,fishing,no
3662,swimming,yes
3663,swimming,no
3664,swimming,no
3665,,no
3666,swimming,no
3667,swimming,no
3668,swimming,no
3669,swimming,no
3670,swimming,no
3671,,no
3672,,no
3673,boat,no
3674,fishing,yes
3675,,no
3676,fishing,yes
3677,,no
3678,,yes
3679,swimming,no
3680,fishing,no
3681,fishing,no
3682,fishing,no
3683,swimming,no
3684,,no
3685,fishing,yes
3686,swimming,yes
3687,fishing,yes
3688,surfing,no
3689,,yes
3690,swimming,no
3691,swimming,no
3692,fishing,no
3693,swimming,yes
3694,fishing,yes
3695,swimming,no
3696,fishing,no
3697,,no
3698,,no
3699,swimming,yes
3700,swimming,no
3701,,no
3702,,no
3703,swimming,yes
3704,fishing,yes
3705,surfing,no
3706,,no
3707,,no
3708,swimming,no
3709,surfing,no
3710,fishing,yes
3711,swimming,no
3712,,unknown
3713,swimming,no
3714,swimming,no
3715,,no
3716,swimming,no
3717,boat,no
3718,swimming,yes
3719,boat,no
3720,,no
3721,fishing,no
3722,fishing,no
3723,surfing,yes
3724,fishing,no
3725,fishing,yes
3726,boat,no
3727,fishing,no
3728,fishing,no
3729,fishing,no
3730,fishing,no
3731,,no
3732,,no
3733,,no
3734,fishing,no
3735,surfing,no
3736,fishing,no
3737,swimming,yes
3738,fishing,no
3739,fishing,yes
3740,surfing,no
3741,fishing,no
3742,swimming,yes
3743,fishing,no
3744,swimming,no
3745,fishing,no
3746,fishing,yes
3747,,yes
3748,swimming,yes
3749,fishing,no
3750,swimming,no
3751,boat,yes
3752,fishing,no
3753,swimming,yes
3754,swimming,no
3755,surfing,no
3756,surfing,no
3757,,no
3758,,yes
3759,swimming,no
3760,fishing,no
3761,fishing,no
3762,,no
3763,,no
3764,swimming,no
3765,,yes
3766,swimming,no
3767,fishing,no
3768,fishing,no
3769,fishing,no
3770,swimming,no
3771,fishing,no
3772,fishing,no
3773,,no
3774,,unknown
3775,fishing,yes
3776,swimming,no
3777,fishing,yes
3778,fishing,no
3779,swimming,no
3780,,no
3781,surfing,no
3782,fishing,no
3783,boat,no
3784,fishing,no
3785,,yes
3786,,no
3787,,no
3788,fishing,no
3789,,yes
3790,fishing,no
3791,swimming,no
3792,swimming,yes
3793,swimming,yes
3794,fishing,unknown
3795,,no
3796,fishing,no
3797,swimming,no
3798,,no
3799,fishing,no
3800,surfing,yes
3801,,no
3802,fishing,yes
3803,swimming,no
3804,,no
3805,,no
3806,,no
3807,fishing,no
3808,surfing,no
3809,swimming,no
3810,,no
3811,,no
3812,,no
3813,,no
3814,,no
3815,,yes
3816,,yes
3817,,yes
3818,,no
3819,fishing,no
3820,swimming,no
3821,swimming,no
3822,,no
3823,,yes
3824,fishing,no
3825,fishing,no
3826,swimming,no
3827,,no
3828,fishing,no
3829,,no
3830,fishing,no
3831,swimming,yes
3832,swimming,no
3833,swimming,no
3834,fishing,no
3835,swimming,yes
3836,,yes
3837,swimming,no
3838,fishing,unknown
3839,swimming,yes
3840,,no
3841,,unknown
3842,fishing,no
3843,fishing,no
3844,fishing,no
3845,fishing,no
3846,surfing,no
3847,fishing,no
3848,surfing,no
3849,fishing,no
3850,fishing,no
3851,surfing,no
3852,fishing,no
3853,swimming,no
3854,,no
3855,surfing,no
3856,fishing,no
3857,fishing,no
3858,fishing,no
3859,,no
3860,,yes
3861,swimming,no
3862,,yes
3863,,no
3864,,no
3865,fishing,no
3866,fishing,no
3867,swimming,no
3868,surfing,yes
3869,swimming,no
3870,,no
3871,,no
3872,swimming,no
3873,,no
3874,,yes
3875,,no
3876,swimming,yes
3877,fishing,no
3878,,no
3879,swimming,no
3880,fishing,no
3881,fishing,no
3882,swimming,no
3883,,no
3884,fishing,no
3885,fishing,no
3886,fishing,no
3887,fishing,no
3888,swimming,no
3889,fishing,no
3890,fishing,no
3891,fishing,yes
3892,swimming,yes
3893,,no
3894,swimming,no
3895,fishing,no
3896,fishing,no
3897,swimming,no
3898,fishing,no
3899,,no
3900,fishing,no
3901,,no
3902,fishing,no
3903,swimming,no
3904,swimming,no
3905,fishing,no
3906,fishing,no
3907,fishing,no
3908,swimming,yes
3909,boat,yes
3910,fishing,no
3911,fishing,no
3912,fishing,no
3913,swimming,no
3914,fishing,no
3915,fishing,no
3916,swimming,no
3917,fishing,no
3918,,no
3919,,no
3920,,no
3921,,yes
3922,fishing,no
3923,swimming,yes
3924,fishing,no
3925,,no
3926,fishing,no
3927,swimming,no
3928,,no
3929,,no
3930,,yes
3931,fishing,no
3932,swimming,no
3933,,no
3934,,no
3935,,no
3936,fishing,no
3937,swimming,no
3938,fishing,no
3939,swimming,yes
3940,,yes
3941,fishing,yes
3942,,no
3943,swimming,yes
3944,swimming,no
3945,fishing,no
3946,swimming,no
3947,,no
3948,surfing,no
3949,fishing,no
3950,,no
3951,,no
3952,fishing,yes
3953,,no
3954,fishing,no
3955,fishing,no
3956,,no
3957,boat,yes
3958,swimming,no
3959,fishing,no
3960,swimming,no
3961,fishing,no
3962,,no
3963,,no
3964,swimming,no
3965,swimming,no
3966,swimming,no
3967,,yes
3968,,no
3969,swimming,no
3970,swimming,no
3971,,no
3972,,no
3973,boat,no
3974,,no
3975,,no
3976,fishing,no
3977,swimming,yes
3978,fishing,no
3979,,no
3980,fishing,no
3981,fishing,no
3982,surfing,no
3983,fishing,no
3984,fishing,no
3985,swimming,no
3986,,no
3987,surfing,yes
3988,swimming,no
3989,swimming,no
3990,surfing,no
3991,swimming,no
3992,,no
3993,,yes
3994,,no
3995,surfing,no
3996,fishing,no
3997,fishing,no
3998,,no
3999,surfing,no
4000,fishing,no
4001,fishing,no
4002,fishing,no
4003,fishing,no
4004,fishing,yes
4005,fishing,yes
4006,fishing,no
4007,,no
4008,fishing,no
4009,fishing,no
4010,fishing,no
4011,fishing,no
4012,fishing,no
4013,fishing,yes
4014,fishing,no
4015,fishing,no
4016,,no
4017,,no
4018,fishing,no
4019,,no
4020,swimming,yes
4021,fishing,no
4022,fishing,no
4023,,no
4024,swimming,no
4025,fishing,no
4026,,no
4027,fishing,no
4028,fishing,no
4029,fishing,no
4030,fishing,yes
4031,fishing,no
4032,swimming,yes
4033,,no
4034,,no
4035,fishing,no
4036,swimming,yes
4037,swimming,yes
4038,boat,yes
4039,fishing,no
4040,fishing,no
4041,fishing,no
4042,boat,yes
4043,surfing,no
4044,,no
4045,surfing,no
4046,fishing,no
4047,fishing,no
4048,fishing,no
4049,surfing,no
4050,fishing,no
4051,fishing,no
4052,swimming,yes
4053,,no
4054,swimming,no
4055,swimming,yes
4056,fishing,no
4057,swimming,no
4058,,no
4059,,no
4060,,unknown
4061,boat,no
4062,,yes
4063,,no
4064,,yes
4065,fishing,no
4066,swimming,no
4067,,no
4068,,no
4069,swimming,no
4070,swimming,yes
4071,fishing,no
4072,fishing,yes
4073,swimming,no
4074,fishing,no
4075,swimming,yes
4076,,no
4077,,no
4078,swimming,no
4079,,no
4080,surfing,no
4081,,yes
4082,,no
4083,fishing,no
4084,,no
4085,,yes
4086,swimming,no
4087,,no
4088,,yes
4089,,no
4090,swimming,yes
4091,swimming,yes
4092,swimming,no
4093,fishing,no
4094,,no
4095,,yes
4096,fishing,no
4097,,no
4098,fishing,no
4099,swimming,no
4100,fishing,no
4101,fishing,no
4102,fishing,no
4103,swimming,no
4104,boat,yes
4105,swimming,no
4106,fishing,no
4107,fishing,no
4108,fishing,no
4109,swimming,yes
4110,,no
4111,,no
4112,fishing,no
4113,swimming,no
4114,boat,yes
4115,surfing,no
4116,swimming,no
4117,,no
4118,swimming,yes
4119,swimming,no
4120,swimming,yes
4121,,yes
4122,boat,no
4123,fishing,no
4124,fishing,no
4125,,yes
4126,fishing,no
4127,fishing,no
4128,,no
4129,swimming,yes
4130,surfing,yes
4131,boat,yes
4132,swimming,yes
4133,fishing,no
4134,fishing,yes
4135,fishing,no
4136,swimming,no
4137,,no
4138,,no
4139,,no
4140,boat,yes
4141,fishing,no
4142,fishing,no
4143,boat,no
4144,swimming,no
4145,swimming,yes
4146,swimming,no
4147,swimming,no
4148,,yes
4149,swimming,yes
4150,,yes
4151,,no
4152,swimming,no
4153,swimming,yes
4154,fishing,no
4155,,no
4156,,no
4157,,no
4158,swimming,no
4159,swimming,no
4160,fishing,no
4161,swimming,no
4162,swimming,no
4163,,yes
4164,swimming,yes
4165,fishing,no
4166,fishing,no
4167,swimming,no
4168,surfing,no
4169,surfing,no
4170,,no
4171,swimming,yes
4172,fishing,no
4173,,no
4174,swimming,no
4175,,yes
4176,fishing,yes
4177,fishing,yes
4178,fishing,no
4179,fishing,no
4180,fishing,yes
4181,fishing,no
4182,,no
4183,swimming,no
4184,,yes
4185,,yes
4186,surfing,no
4187,fishing,no
4188,fishing,no
4189,,yes
4190,,yes
4191,,no
4192,,no
4193,swimming,no
4194,swimming,yes
4195,swimming,no
4196,,no
4197,fishing,no
4198,fishing,no
4199,,no
4200,swimming,yes
4201,surfing,no
4202,,no
4203,swimming,no
4204,swimming,no
4205,swimming,no
4206,fishing,no
4207,,no
4208,,unknown
4209,swimming,no
4210,,yes
4211,fishing,no
4212,swimming,no
4213,,no
4214,fishing,no
4215,fishing,yes
4216,swimming,no
4217,fishing,no
4218,,no
4219,fishing,yes
4220,,no
4221,fishing,yes
4222,fishing,yes
4223,fishing,yes
4224,swimming,yes
4225,fishing,no
4226,swimming,no
4227,fishing,no
4228,swimming,no
4229,fishing,yes
4230,surfing,no
4231,boat,yes
4232,fishing,yes
4233,swimming,no
4234,fishing,yes
4235,fishing,no
4236,swimming,yes
4237,swimming,no
4238,swimming,no
4239,swimming,no
4240,,yes
4241,,yes
4242,fishing,no
4243,fishing,no
4244,fishing,no
4245,,yes
4246,fishing,no
4247,swimming,yes
4248,,no
4249,swimming,no
4250,surfing,no
4251,fishing,yes
4252,,yes
4253,fishing,no
4254,swimming,yes
4255,swimming,no
4256,boat,unknown
4257,swimming,no
4258,surfing,yes
4259,,no
4260,swimming,yes
4261,swimming,no
4262,swimming,no
4263,swimming,yes
4264,surfing,no
4265,swimming,no
4266,boat,yes
4267,swimming,yes
4268,,no
4269,swimming,unknown
4270,,no
4271,,no
4272,,yes
4273,,no
4274,fishing,no
4275,swimming,no
4276,fishing,no
4277,fishing,no
4278,,yes
4279,,no
4280,,no
4281,swimming,no
4282,,no
4283,fishing,yes
4284,surfing,no
4285,swimming,yes
4286,swimming,yes
4287,fishing,no
4288,,no
4289,fishing,no
4290,,yes
4291,,no
4292,swimming,yes
4293,swimming,yes
4294,fishing,no
4295,fishing,no
4296,fishing,no
4297,fishing,no
4298,fishing,no
4299,surfing,yes
4300,swimming,no
4301,,no
4302,swimming,no
4303,fishing,no
4304,swimming,yes
4305,fishing,no
4306,,no
4307,,no
4308,,yes
4309,,yes
4310,,unknown
4311,fishing,no
4312,,yes
4313,swimming,no
4314,fishing,no
4315,,no
4316,swimming,yes
4317,swimming,yes
4318,swimming,yes
4319,swimming,no
4320,fishing,no
4321,,yes
4322,fishing,no
4323,boat,unknown
4324,,no
4325,swimming,no
4326,swimming,yes
4327,fishing,yes
4328,fishing,no
4329,fishing,no
4330,fishing,no
4331,fishing,no
4332,swimming,yes
4333,fishing,no
4334,swimming,yes
4335,,no
4336,swimming,no
4337,swimming,yes
4338,,no
4339,,no
4340,swimming,no
4341,swimming,yes
4342,swimming,yes
4343,,no
4344,fishing,no
4345,fishing,no
4346,swimming,yes
4347,swimming,no
4348,fishing,no
4349,,no
4350,,no
4351,,yes
4352,,no
4353,swimming,yes
4354,fishing,no
4355,swimming,no
4356,,yes
4357,,no
4358,swimming,no
4359,swimming,no
4360,swimming,no
4361,surfing,no
4362,,no
4363,,yes
4364,swimming,no
4365,,no
4366,surfing,no
4367,,no
4368,swimming,no
4369,,yes
4370,fishing,yes
4371,fishing,no
4372,,no
4373,,no
4374,fishing,no
4375,,no
4376,,no
4377,boat,no
4378,,no
4379,swimming,no
4380,,no
4381,swimming,no
4382,fishing,no
4383,fishing,no
4384,,yes
4385,boat,yes
4386,,no
4387,fishing,no
4388,fishing,no
4389,fishing,no
4390,fishing,no
4391,fishing,no
4392,,yes
4393,,no
4394,surfing,no
4395,fishing,no
4396,,no
4397,fishing,no
4398,swimming,yes
4399,surfing,yes
4400,swimming,yes
4401,fishing,no
4402,,no
4403,fishing,yes
4404,fishing,no
4405,fishing,no
4406,fishing,no
4407,boat,yes
4408,fishing,no
4409,fishing,no
4410,surfing,no
4411,fishing,no
4412,fishing,no
4413,fishing,no
4414,fishing,no
4415,,no
4416,fishing,no
4417,surfing,no
4418,swimming,yes
4419,fishing,no
4420,fishing,yes
4421,fishing,yes
4422,swimming,yes
4423,swimming,yes
4424,fishing,no
4425,swimming,no
4426,,yes
4427,swimming,no
4428,fishing,no
4429,,no
4430,boat,yes
4431,swimming,yes
4432,boat,no
4433,swimming,yes
4434,fishing,no
4435,boat,yes
4436,swimming,no
4437,swimming,yes
4438,swimming,no
4439,swimming,yes
4440,,no
4441,,no
4442,fishing,yes
4443,fishing,no
4444,swimming,no
4445,,no
4446,surfing,no
4447,surfing,no
4448,surfing,no
4449,surfing,no
4450,surfing,no
4451,swimming,no
4452,swimming,yes
4453,,no
4454,,yes
4455,surfing,no
4456,swimming,no
4457,,yes
4458,swimming,no
4459,surfing,no
4460,,no
4461,surfing,no
4462,fishing,no
4463,fishing,no
4464,swimming,no
4465,fishing,no
4466,swimming,yes
4467,fishing,no
4468,,no
4469,swimming,no
4470,,no
4471,swimming,no
4472,swimming,no
4473,,yes
4474,,no
4475,fishing,no
4476,fishing,yes
4477,fishing,no
4478,,no
4479,,yes
4480,,no
4481,fishing,no
4482,surfing,yes
4483,fishing,no
4484,swimming,no
4485,,no
4486,fishing,no
4487,fishing,no
4488,,yes
4489,,yes
4490,,no
4491,fishing,no
4492,swimming,no
4493,swimming,yes
4494,swimming,yes
4495,fishing,no
4496,swimming,no
4497,,no
4498,boat,yes
4499,,no
4500,swimming,no
4501,,no
4502,swimming,no
4503,swimming,yes
4504,swimming,no
4505,swimming,no
4506,swimming,no
4507,swimming,no
4508,swimming,yes
4509,,no
4510,fishing,no
4511,fishing,yes
4512,swimming,no
4513,,no
4514,fishing,no
4515,swimming,yes
4516,swimming,no
4517,,unknown
4518,,yes
4519,surfing,no
4520,surfing,no
4521,,no
4522,fishing,no
4523,,yes
4524,,no
4525,,no
4526,fishing,yes
4527,swimming,no
4528,swimming,yes
4529,swimming,yes
4530,,yes
4531,,no
4532,boat,no
4533,fishing,no
4534,,yes
4535,swimming,no
4536,swimming,yes
4537,swimming,no
4538,fishing,no
4539,swimming,yes
4540,,yes
4541,swimming,yes
4542,,yes
4543,swimming,no
4544,,no
4545,swimming,yes
4546,swimming,no
4547,fishing,no
4548,boat,no
4549,,yes
4550,,no
4551,fishing,no
4552,,yes
4553,swimming,yes
4554,surfing,no
4555,,no
4556,fishing,no
4557,fishing,no
4558,fishing,no
4559,fishing,no
4560,,no
4561,swimming,yes
4562,fishing,no
4563,surfing,no
4564,surfing,no
4565,swimming,yes
4566,swimming,no
4567,,yes
4568,fishing,no
4569,swimming,yes
4570,swimming,yes
4571,fishing,no
4572,swimming,no
4573,swimming,no
4574,,no
4575,fishing,no
4576,fishing,no
4577,swimming,no
4578,,no
4579,surfing,no
4580,surfing,no
4581,boat,no
4582,,no
4583,,no
4584,fishing,no
4585,,no
4586,swimming,yes
4587,,no
4588,,no
4589,swimming,no
4590,,no
4591,swimming,yes
4592,fishing,yes
4593,swimming,no
4594,fishing,no
4595,swimming,yes
4596,fishing,no
4597,swimming,no
4598,swimming,no
4599,swimming,no
4600,swimming,yes
4601,fishing,no
4602,fishing,no
4603,,no
4604,,no
4605,swimming,no
4606,,no
4607,swimming,no
4608,,no
4609,,no
4610,swimming,yes
4611,surfing,no
4612,,no
4613,,no
4614,boat,no
4615,swimming,yes
4616,swimming,no
4617,swimming,yes
4618,swimming,no
4619,,no
4620,,yes
4621,,yes
4622,,yes
4623,swimming,yes
4624,swimming,yes
4625,,no
4626,swimming,no
4627,swimming,no
4628,,yes
4629,swimming,no
4630,swimming,no
4631,swimming,no
4632,fishing,no
4633,,yes
4634,swimming,no
4635,,yes
4636,swimming,yes
4637,swimming,yes
4638,,no
4639,boat,yes
4640,fishing,no
4641,swimming,no
4642,boat,yes
4643,swimming,yes
4644,swimming,yes
4645,,no
4646,swimming,no
4647,,no
4648,,yes
4649,,yes
4650,,no
4651,,yes
4652,,no
4653,,no
4654,swimming,yes
4655,surfing,yes
4656,fishing,no
4657,surfing,no
4658,swimming,yes
4659,,yes
4660,,yes
4661,,yes
4662,,yes
4663,,yes
4664,swimming,no
4665,,yes
4666,,no
4667,swimming,yes
4668,surfing,no
4669,boat,yes
4670,fishing,no
4671,swimming,no
4672,fishing,no
4673,,no
4674,,no
4675,,yes
4676,boat,yes
4677,boat,no
4678,swimming,no
4679,swimming,yes
4680,boat,yes
4681,,yes
4682,,yes
4683,,yes
4684,swimming,yes
4685,swimming,no
4686,swimming,no
4687,fishing,no
4688,fishing,no
4689,,unknown
4690,,yes
4691,boat,yes
4692,swimming,no
4693,,no
4694,boat,yes
4695,swimming,no
4696,,yes
4697,,yes
4698,swimming,yes
4699,,no
4700,boat,yes
4701,boat,no
4702,boat,no
4703,swimming,no
4704,,no
4705,,yes
4706,,no
4707,,yes
4708,,no
4709,,yes
4710,boat,no
4711,,no
4712,boat,no
4713,swimming,no
4714,swimming,no
4715,,yes
4716,,no
4717,,no
4718,swimming,yes
4719,surfing,no
4720,,yes
4721,fishing,no
4722,swimming,yes
4723,,no
4724,,no
4725,swimming,no
4726,,yes
4727,boat,no
4728,,no
4729,,no
4730,swimming,yes
4731,,yes
4732,swimming,no
4733,,no
4734,,no
4735,,yes
4736,,no
4737,,yes
4738,fishing,no
4739,swimming,no
4740,swimming,no
4741,fishing,no
4742,fishing,no
4743,fishing,no
4744,,yes
4745,boat,no
4746,fishing,no
4747,fishing,no
4748,,no
4749,boat,no
4750,boat,yes
4751,,no
4752,,yes
4753,,yes
4754,,no
4755,,yes
4756,,yes
4757,,no
4758,,yes
4759,swimming,yes
4760,fishing,no
4761,fishing,no
4762,swimming,yes
4763,,no
4764,,no
4765,fishing,no
4766,,yes
4767,swimming,no
4768,swimming,yes
4769,,no
4770,,yes
4771,swimming,no
4772,swimming,yes
4773,swimming,no
4774,swimming,yes
4775,swimming,no
4776,boat,no
4777,,yes
4778,,no
4779,swimming,no
4780,,no
4781,,no
4782,swimming,no
4783,swimming,yes
4784,,no
4785,,no
4786,,unknown
4787,,unknown
4788,fishing,yes
4789,swimming,no
4790,fishing,no
4791,swimming,no
4792,fishing,no
4793,,yes
4794,swimming,no
4795,,no
4796,,yes
4797,swimming,yes
4798,swimming,yes
4799,swimming,yes
4800,fishing,no
4801,,no
4802,boat,no
4803,fishing,no
4804,swimming,yes
4805,swimming,no
4806,swimming,yes
4807,swimming,yes
4808,fishing,no
4809,swimming,yes
4810,fishing,no
4811,swimming,no
4812,fishing,no
4813,fishing,no
4814,swimming,yes
4815,,yes
4816,swimming,no
4817,fishing,yes
4818,swimming,no
4819,swimming,yes
4820,,no
4821,,no
4822,fishing,no
4823,,no
4824,swimming,no
4825,surfing,no
4826,swimming,yes
4827,surfing,no
4828,fishing,no
4829,swimming,no
4830,swimming,no
4831,,yes
4832,swimming,yes
4833,,yes
4834,swimming,yes
4835,swimming,yes
4836,swimming,no
4837,surfing,no
4838,fishing,no
4839,boat,no
4840,fishing,no
4841,,no
4842,swimming,no
4843,swimming,no
4844,swimming,yes
4845,swimming,yes
4846,,no
4847,,yes
4848,fishing,no
4849,swimming,yes
4850,fishing,no
4851,swimming,yes
4852,swimming,no
4853,swimming,no
4854,swimming,yes
4855,swimming,no
4856,fishing,no
4857,fishing,no
4858,boat,no
4859,,no
4860,,no
4861,swimming,no
4862,,no
4863,fishing,no
4864,swimming,yes
4865,fishing,yes
4866,fishing,no
4867,,yes
4868,swimming,no
4869,surfing,no
4870,,no
4871,fishing,no
4872,swimming,no
4873,fishing,no
4874,swimming,yes
4875,fishing,no
4876,swimming,no
4877,fishing,no
4878,surfing,yes
4879,swimming,yes
4880,swimming,no
4881,swimming,no
4882,fishing,no
4883,boat,no
4884,swimming,no
4885,,no
4886,,no
4887,,no
4888,swimming,yes
4889,swimming,yes
4890,surfing,no
4891,,no
4892,swimming,yes
4893,,no
4894,swimming,no
4895,swimming,yes
4896,swimming,yes
4897,,yes
4898,fishing,no
4899,swimming,yes
4900,fishing,no
4901,fishing,no
4902,fishing,yes
4903,swimming,yes
4904,fishing,no
4905,fishing,yes
4906,,no
4907,,no
4908,,no
4909,swimming,no
4910,,no
4911,swimming,no
4912,,no
4913,swimming,no
4914,,no
4915,swimming,no
4916,,no
4917,surfing,no
4918,swimming,yes
4919,,yes
4920,surfing,no
4921,fishing,no
4922,fishing,no
4923,,no
4924,,no
4925,,no
4926,swimming,yes
4927,swimming,yes
4928,swimming,no
4929,swimming,yes
4930,fishing,no
4931,swimming,yes
4932,fishing,no
4933,fishing,no
4934,swimming,no
4935,swimming,yes
4936,swimming,yes
4937,swimming,no
4938,fishing,no
4939,fishing,no
4940,,yes
4941,surfing,no
4942,swimming,yes
4943,swimming,no
4944,swimming,yes
4945,swimming,yes
4946,fishing,no
4947,,no
4948,,yes
4949,fishing,no
4950,swimming,no
4951,swimming,no
4952,swimming,yes
4953,swimming,no
4954,swimming,no
4955,fishing,no
4956,fishing,no
4957,swimming,no
4958,swimming,no
4959,,no
4960,swimming,no
4961,,no
4962,,no
4963,fishing,no
4964,boat,yes
4965,fishing,no
4966,,no
4967,swimming,yes
4968,swimming,yes
4969,,no
4970,surfing,no
4971,,no
4972,fishing,no
4973,swimming,yes
4974,,no
4975,fishing,no
4976,,unknown
4977,swimming,no
4978,swimming,yes
4979,,no
4980,,no
4981,,no
4982,fishing,no
4983,swimming,no
4984,,no
4985,,no
4986,fishing,no
4987,fishing,no
4988,fishing,no
4989,swimming,yes
4990,swimming,yes
4991,swimming,no
4992,,yes
4993,,yes
4994,swimming,no
4995,fishing,no
4996,fishing,yes
4997,swimming,no
4998,fishing,unknown
4999,fishing,yes
5000,fishing,no
5001,swimming,no
5002,swimming,yes
5003,swimming,no
5004,swimming,no
5005,fishing,no
5006,swimming,yes
5007,,no
5008,fishing,no
5009,swimming,yes
5010,swimming,yes
5011,swimming,no
5012,swimming,no
5013,,yes
5014,swimming,no
5015,swimming,no
5016,fishing,no
5017,,no
5018,,no
5019,,no
5020,fishing,yes
5021,fishing,yes
5022,fishing,no
5023,fishing,no
5024,swimming,no
5025,,no
5026,swimming,no
5027,swimming,no
5028,swimming,yes
5029,,unknown
5030,swimming,no
5031,,yes
5032,fishing,no
5033,,yes
5034,fishing,no
5035,swimming,yes
5036,,no
5037,fishing,no
5038,swimming,no
5039,swimming,no
5040,swimming,no
5041,swimming,no
5042,,yes
5043,swimming,no
5044,fishing,no
5045,,no
5046,,no
5047,swimming,no
5048,swimming,no
5049,swimming,yes
5050,,no
5051,fishing,yes
5052,swimming,no
5053,swimming,yes
5054,,no
5055,swimming,yes
5056,swimming,yes
5057,swimming,no
5058,surfing,no
5059,swimming,no
5060,,yes
5061,,yes
5062,,yes
5063,fishing,no
5064,swimming,no
5065,fishing,no
5066,,yes
5067,swimming,no
5068,swimming,no
5069,,no
5070,fishing,no
5071,swimming,no
5072,swimming,no
5073,swimming,no
5074,,no
5075,,yes
5076,swimming,yes
5077,swimming,no
5078,swimming,yes
5079,surfing,no
5080,surfing,no
5081,surfing,yes
5082,,no
5083,swimming,yes
5084,swimming,yes
5085,swimming,no
5086,surfing,yes
5087,fishing,yes
5088,swimming,yes
5089,swimming,no
5090,fishing,no
5091,fishing,no
5092,,no
5093,swimming,no
5094,swimming,no
5095,fishing,no
5096,,no
5097,,yes
5098,swimming,yes
5099,fishing,no
5100,,no
5101,swimming,no
5102,boat,no
5103,swimming,no
5104,,no
5105,fishing,no
5106,,no
5107,swimming,yes
5108,swimming,no
5109,,yes
5110,,no
5111,swimming,yes
5112,swimming,no
5113,swimming,no
5114,,yes
5115,swimming,no
5116,swimming,no
5117,,no
5118,surfing,no
5119,,no
5120,swimming,yes
5121,,yes
5122,fishing,yes
5123,,no
