,activity,fatal_(y/n)
914,fishing,no
915,,no
916,swimming,no
917,,no
918,surfing,no
919,surfing,no
920,,no
921,fishing,yes
922,surfing,no
923,,yes
924,surfing,no
925,fishing,no
926,fishing,no
927,fishing,no
928,fishing,no
929,fishing,no
930,surfing,no
931,surfing,no
932,surfing,no
933,swimming,no
934,,no
935,swimming,no
936,surfing,no
937,swimming,no
938,swimming,no
939,,no
940,,no
941,surfing,no
942,fishing,no
943,fishing,no
944,surfing,no
945,swimming,yes
946,fishing,no
947,swimming,no
948,fishing,no
949,surfing,no
950,swimming,no
951,fishing,no
952,swimming,no
953,swimming,no
954,surfing,yes
955,,no
956,fishing,no
957,,no
958,surfing,no
959,surfing,no
960,swimming,yes
961,surfing,no
962,swimming,no
963,swimming,no
964,swimming,no
965,swimming,no
966,fishing,no
967,swimming,no
968,swimming,no
969,swimming,yes
970,surfing,no
971,fishing,no
972,swimming,no
973,fishing,no
974,surfing,no
975,fishing,no
976,swimming,no
977,surfing,no
978,,yes
979,swimming,no
980,surfing,no
981,swimming,no
982,surfing,no
983,surfing,no
984,surfing,no
985,surfing,no
986,swimming,yes
987,surfing,no
988,swimming,no
989,swimming,no
990,surfing,no
991,surfing,no
992,surfing,no
993,,no
994,swimming,no
995,,no
996,surfing,yes
997,fishing,no
998,fishing,no
999,swimming,no
1000,surfing,no
1001,surfing,no
1002,surfing,no
1003,swimming,no
1004,,no
1005,,no
1006,,no
1007,surfing,no
1008,swimming,no
1009,swimming,no
1010,surfing,no
1011,swimming,no
1012,fishing,no
1013,fishing,no
1014,swimming,no
1015,fishing,no
1016,surfing,no
1017,,no
1018,surfing,no
1019,,no
1020,swimming,no
1021,swimming,no
1022,,no
1023,surfing,no
1024,surfing,no
1025,fishing,no
1026,,no
1027,swimming,no
1028,surfing,no
1029,swimming,no
1030,,no
1031,,no
1032,surfing,no
1033,surfing,no
1034,swimming,no
1035,surfing,no
1036,swimming,no
1037,surfing,no
1038,swimming,yes
1039,swimming,no
1040,surfing,no
1041,fishing,no
1042,,no
1043,surfing,no
1044,swimming,no
1045,,yes
1046,,no
1047,surfing,no
1048,surfing,no
1049,surfing,no
1050,surfing,no
1051,,yes
1052,swimming,no
1053,,no
1054,,no
1055,swimming,no
1056,fishing,no
1057,surfing,no
1058,,no
1059,swimming,no
1060,swimming,no
1061,,no
1062,fishing,no
1063,,yes
1064,surfing,no
1065,swimming,yes
1066,surfing,no
1067,,no
1068,swimming,no
1069,surfing,no
1070,,no
1071,fishing,no
1072,surfing,no
1073,surfing,no
1074,surfing,no
1075,,no
1076,surfing,no
1077,,no
1078,fishing,no
1079,,no
1080,surfing,no
1081,surfing,no
1082,,no
1083,swimming,no
1084,swimming,no
1085,surfing,no
1086,fishing,no
1087,swimming,no
1088,,no
1089,fishing,no
