,date,country,activity,fatal_(y/n),month,australia
181,24-jan-2017,brazil,swimming,no,january,
182,22-jan-2017,usa,other_activities,no,january,
183,21-jan-2017,australia,swimming,no,january,australia
184,13-jan-2017,australia,swimming,no,january,australia
185,13-jan-2017,usa,other_activities,no,january,
186,09-jan-2017,indonesia,surfing,no,january,
187,reported_08-jan-2017,australia,fishing,no,january,australia
188,05-jan-2017,usa,other_activities,no,january,
189,03-jan-2017,australia,other_activities,no,january,australia
190,27-dec-2016,usa,surfing,no,december,
191,24-dec-2016,australia,swimming,no,december,australia
192,19-dec-2016,south_africa,surfing,no,december,
193,14-dec-2016,australia,swimming,no,december,australia
194,11-dec-2016,french_polynesia,fishing,no,december,
195,11-dec-2016,usa,surfing,no,december,
196,06-dec-2016,australia,surfing,no,december,australia
197,01-dec-2016,australia,surfing,no,december,australia
198,28-nov-2016,australia,fishing,no,november,australia
199,14-nov-2016,usa,other_activities,no,november,
200,30-oct-2016,usa,surfing,no,october,
201,29-oct-2016,usa,surfing,no,october,
202,24-oct-2016,australia,surfing,no,october,australia
203,21-oct-2016,usa,surfing,no,october,
204,15-oct-2016,australia,surfing,no,october,australia
205,14-oct-2016,usa,swimming,no,october,
206,13-oct-2016,mexico,swimming,no,october,
207,12-oct-2016,australia,surfing,no,october,australia
208,10-oct-2016,usa,surfing,no,october,
209,02-oct-2016,usa,surfing,no,october,
210,01-oct-2016,usa,surfing,no,october,
211,26-sep-2016,australia,surfing,no,september,australia
212,18-sep-2016,usa,surfing,no,september,
213,18-sep-2016,usa,surfing,no,september,
214,18-sep-2016,usa,surfing,no,september,
215,17-sep-2016,usa,surfing,no,september,
216,17-sep-2016,australia,surfing,no,september,australia
217,16-sep-2016,australia,surfing,no,september,australia
218,15-sep-2016,australia,fishing,no,september,australia
219,11-sep-2016,usa,other_activities,no,september,
220,07-sep-2016,usa,swimming,no,september,
221,06-sep-2016,new_caledonia,surfing,yes,september,
222,05-sep-2016,usa,other_activities,no,september,
223,05-sep-2016,australia,surfing,no,september,australia
224,04-sep-2016,usa,other_activities,no,september,
225,01-sep-2016,usa,fishing,no,september,
226,sep-2016,mexico,swimming,no,september,
227,29-aug-2016,usa,surfing,no,august,
228,29-aug-2016,usa,surfing,no,august,
229,27-aug-2016,reunion,surfing,no,august,
230,25-aug-2016,usa,other_activities,no,august,
231,07-aug-2016,bahamas,swimming,no,august,
232,06-aug-2016,usa,other_activities,no,august,
233,04-aug-2016,usa,surfing,no,august,
234,29-jul-2016,spain,swimming,no,july,
235,28-jul-2016,china,swimming,no,july,
236,28-jul-2016,australia,other_activities,no,july,australia
237,27-jul-2016,usa,other_activities,no,july,
238,26-jul-2016,australia,surfing,no,july,australia
239,24-jul-2016,japan,surfing,no,july,
240,23-jul-2016,australia,surfing,no,july,australia
241,23-jul-2016,bahamas,fishing,no,july,
242,20-jul-2016,australia,fishing,no,july,australia
243,17-jul-2016,usa,fishing,no,july,
244,16-jul-2016,usa,surfing,no,july,
245,16-jul-2016,usa,other_activities,no,july,
246,15-jul-2016,usa,surfing,no,july,
247,15-jul-2016,usa,swimming,no,july,
248,reported__14-jul-2016,bahamas,swimming,no,july,
249,reported_08-jul-2016,spain,other_activities,no,july,
250,08-jul-2016,usa,fishing,no,july,
251,07-jul-2016,usa,fishing,no,july,
252,07-jul-2016,usa,fishing,no,july,
253,06-jul-2016,usa,swimming,no,july,
254,04-jul-2016,australia,fishing,no,july,australia
255,27-jun-2016,usa,other_activities,no,june,
256,25-jun-2016,usa,surfing,no,june,
257,24-jun-2016,columbia,swimming,no,june,
258,23-jun-2016,south_africa,fishing,no,june,
259,21-jun-2016,usa,other_activities,no,june,
260,21-jun-2016,usa,other_activities,no,june,
261,15-jun-2016,usa,surfing,no,june,
262,15-jun-2016,australia,fishing,no,june,australia
263,14-jun-2016,usa,other_activities,no,june,
264,11-jun-2016,usa,other_activities,no,june,
265,07-jun-2016,usa,surfing,no,june,
266,05-jun-2016,usa,swimming,no,june,
267,05-jun-2016,australia,swimming,yes,june,australia
268,04-jun-2016,egypt,swimming,no,june,
269,02-jun-2016,australia,fishing,no,june,australia
270,02-jun-2016,new_caledonia,surfing,no,june,
271,31-may-2016,australia,surfing,yes,may,australia
272,29-may-2016,usa,swimming,no,may,
273,29-may-2016,usa,swimming,no,may,
274,22-may-2016,usa,swimming,no,may,
275,21-may-2016,usa,swimming,no,may,
276,21-may-2016,usa,swimming,no,may,
277,18-may-2016,usa,swimming,no,may,
278,15-may-2016,usa,other_activities,no,may,
